Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-04-06,Melaka,10,99,0,1,,,,,,,
2020-04-06,Johor,30,468,0,13,,,,,,,
2020-04-06,Pahang,3,161,0,1,,,,,,,
2020-04-06,Terengganu,6,90,1,1,,,,,,,
2020-04-06,Kelantan,1,142,0,3,,,,,,,
2020-04-06,Sabah,2,240,0,2,,,,,,,
2020-04-06,Sarawak,12,273,0,12,,,,,,,
2020-04-06,Kuala Lumpur,18,640,0,13,,,,,,,
2020-04-06,Putrajaya,4,41,0,0,,,,,,,
2020-04-06,Labuan,1,12,0,0,,,,,,,
2020-04-07,Perlis,4,17,0,1,,,,,,,
2020-04-07,Kedah,5,90,0,1,,,,,,,
2020-04-07,Pulau Pinang,1,102,0,1,,,,,,,
2020-04-07,Perak,14,233,0,4,,,,,,,
2020-04-07,Selangor,50,1020,0,4,,,,,,,
2020-04-07,Negeri Sembilan,22,261,0,4,,,,,,,
2020-04-07,Melaka,4,103,0,1,,,,,,,
2020-04-07,Johor,10,478,1,14,,,,,,,
2020-04-07,Pahang,5,166,0,1,,,,,,,
2020-04-07,Terengganu,0,90,0,1,,,,,,,
2020-04-07,Kelantan,5,147,0,3,,,,,,,
2020-04-07,Sabah,1,241,0,2,,,,,,,
2020-04-07,Sarawak,15,288,0,12,,,,,,,
2020-04-07,Kuala Lumpur,31,671,0,13,,,,,,,
2020-04-07,Putrajaya,2,43,0,0,,,,,,,
2020-04-07,Labuan,1,13,0,0,,,,,,,
2020-04-08,Perlis,0,17,0,1,,,,,,,
2020-04-08,Kedah,1,91,0,1,,,,,,,
2020-04-08,Pulau Pinang,6,108,0,1,,,,,,,
2020-04-08,Perak,4,237,0,4,,,,,,,
2020-04-08,Selangor,58,1078,0,4,,,,,,,
2020-04-08,Negeri Sembilan,9,270,1,5,,,,,,,
2020-04-08,Melaka,13,116,0,1,,,,,,,
2020-04-08,Johor,18,496,0,14,,,,,,,
2020-04-08,Pahang,3,169,0,1,,,,,,,
2020-04-08,Terengganu,3,93,0,1,,,,,,,
2020-04-08,Kelantan,0,147,0,3,,,,,,,
2020-04-08,Sabah,7,248,0,2,,,,,,,
